:Product: 202110_ace_swepam_1h.txt
:Issued: 2021 Nov 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 10 01  0000   59488       0    0        0.2      547.7     1.89e+05
2021 10 01  0100   59488    3600    1        0.3      547.0     1.79e+05
2021 10 01  0200   59488    7200    0        0.1      502.8     2.01e+05
2021 10 01  0300   59488   10800    0        0.2      475.4     1.99e+05
2021 10 01  0400   59488   14400    0        0.7      503.6     2.40e+05
2021 10 01  0500   59488   18000    0        1.9      505.1     1.63e+05
2021 10 01  0600   59488   21600    0        1.5      519.9     1.79e+05
2021 10 01  0700   59488   25200    6        2.9      532.5     2.16e+05
2021 10 01  0800   59488   28800    0        3.3      552.4     2.39e+05
2021 10 01  0900   59488   32400    9    -9999.9    -9999.9    -1.00e+05
2021 10 01  1000   59488   36000    0        8.1      529.3     7.16e+04
2021 10 01  1100   59488   39600    0        4.1      524.5     6.82e+04
2021 10 01  1200   59488   43200    0        4.4      514.5     7.20e+04
2021 10 01  1300   59488   46800    0        0.5      536.8     1.66e+05
2021 10 01  1400   59488   50400    0        0.1      525.7     1.65e+05
2021 10 01  1500   59488   54000    0        0.0      540.3     8.50e+04
2021 10 01  1600   59488   57600    0        0.1      508.5     6.95e+04
2021 10 01  1700   59488   61200    0        0.2      519.9     4.93e+04
2021 10 01  1800   59488   64800    0        0.1      510.0     7.25e+04
2021 10 01  1900   59488   68400    0        0.2      498.0     3.20e+04
2021 10 01  2000   59488   72000    0        0.5      493.9     2.90e+04
2021 10 01  2100   59488   75600    0        0.3      480.4     2.38e+04
2021 10 01  2200   59488   79200    0        0.2      468.3     3.23e+04
2021 10 01  2300   59488   82800    0        0.1      460.4     4.27e+04
2021 10 02  0000   59489       0    0        0.0      455.0     5.53e+04
2021 10 02  0100   59489    3600    0        0.0      459.8     1.77e+05
2021 10 02  0200   59489    7200    0        0.0      450.6     1.01e+05
2021 10 02  0300   59489   10800    0        0.3      453.4     5.18e+04
2021 10 02  0400   59489   14400    0        0.4      447.3     4.30e+04
2021 10 02  0500   59489   18000    1        0.3      444.0     5.48e+04
2021 10 02  0600   59489   21600    0        0.1      449.1     6.27e+04
2021 10 02  0700   59489   25200    0        0.1      445.7     6.34e+04
2021 10 02  0800   59489   28800    0        0.2      448.8     9.91e+04
2021 10 02  0900   59489   32400    0        1.3      444.2     3.85e+04
2021 10 02  1000   59489   36000    0        0.8      439.3     3.14e+04
2021 10 02  1100   59489   39600    0        1.9      428.0     1.42e+04
2021 10 02  1200   59489   43200    0        2.2      420.1     1.90e+04
2021 10 02  1300   59489   46800    0        1.8      419.8     2.82e+04
2021 10 02  1400   59489   50400    0        1.2      400.0     4.45e+04
2021 10 02  1500   59489   54000    0        1.4      423.4     6.52e+04
2021 10 02  1600   59489   57600    0        1.0      427.9     4.48e+04
2021 10 02  1700   59489   61200    0        1.1      417.8     4.23e+04
2021 10 02  1800   59489   64800    0        0.8      414.8     5.59e+04
2021 10 02  1900   59489   68400    0        1.0      407.8     3.86e+04
2021 10 02  2000   59489   72000    0        0.6      406.1     6.04e+04
2021 10 02  2100   59489   75600    0        0.7      411.7     6.85e+04
2021 10 02  2200   59489   79200    3    -9999.9    -9999.9    -1.00e+05
2021 10 02  2300   59489   82800    0        1.8      409.1     3.61e+04
2021 10 03  0000   59490       0    0        1.7      412.7     3.20e+04
2021 10 03  0100   59490    3600    0        1.2      416.7     3.29e+04
2021 10 03  0200   59490    7200    0        1.2      414.6     3.06e+04
2021 10 03  0300   59490   10800    0        1.1      413.4     3.33e+04
2021 10 03  0400   59490   14400    0        1.2      409.9     3.74e+04
2021 10 03  0500   59490   18000    0        1.8      398.3     5.32e+04
2021 10 03  0600   59490   21600    0        1.7      400.7     4.70e+04
2021 10 03  0700   59490   25200    0        2.2      400.5     4.65e+04
2021 10 03  0800   59490   28800    0        2.1      404.6     2.73e+04
