:Product: 202201_ace_swepam_1h.txt
:Issued: 2022 Feb 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 01 01  0000   59580       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0100   59580    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0200   59580    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0300   59580   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0400   59580   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0500   59580   18000    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0600   59580   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0700   59580   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  0800   59580   28800    0        1.3      486.6     1.14e+05
2022 01 01  0900   59580   32400    0        0.6      539.0     1.20e+05
2022 01 01  1000   59580   36000    1        0.7      552.4     1.46e+05
2022 01 01  1100   59580   39600    0        1.0      585.6     1.39e+05
2022 01 01  1200   59580   43200    1        0.8      569.1     1.25e+05
2022 01 01  1300   59580   46800    0        0.9      573.4     1.35e+05
2022 01 01  1400   59580   50400    0        1.0      574.1     1.57e+05
2022 01 01  1500   59580   54000    1        1.1      573.6     2.46e+05
2022 01 01  1600   59580   57600    0        1.2      570.9     3.02e+05
2022 01 01  1700   59580   61200    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  1800   59580   64800    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  1900   59580   68400    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  2000   59580   72000    9    -9999.9    -9999.9    -1.00e+05
2022 01 01  2100   59580   75600    0        1.0      549.7     2.31e+05
2022 01 01  2200   59580   79200    0        1.0      542.5     1.92e+05
2022 01 01  2300   59580   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  0000   59581       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  0100   59581    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  0200   59581    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  0300   59581   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  0400   59581   14400    1        1.3      494.2     1.69e+05
2022 01 02  0500   59581   18000    6        1.4      505.2     2.02e+05
2022 01 02  0600   59581   21600    1        1.5      513.4     1.81e+05
2022 01 02  0700   59581   25200    0        1.4      511.2     1.73e+05
2022 01 02  0800   59581   28800    0        1.5      508.0     1.79e+05
2022 01 02  0900   59581   32400    1        1.5      510.8     1.91e+05
2022 01 02  1000   59581   36000    1        1.5      514.7     2.29e+05
2022 01 02  1100   59581   39600    1        1.6      515.5     2.50e+05
2022 01 02  1200   59581   43200    1        1.8      492.7     1.77e+05
2022 01 02  1300   59581   46800    1        1.8      487.4     1.56e+05
2022 01 02  1400   59581   50400    1        1.5      492.2     2.25e+05
2022 01 02  1500   59581   54000    0        1.7      499.6     2.95e+05
2022 01 02  1600   59581   57600    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  1700   59581   61200    9    -9999.9    -9999.9    -1.00e+05
2022 01 02  1800   59581   64800    0        1.8      482.2     2.31e+05
2022 01 02  1900   59581   68400    0        1.4      511.1     1.48e+05
2022 01 02  2000   59581   72000    0        1.9      502.4     1.94e+05
2022 01 02  2100   59581   75600    1        2.6      475.4     2.14e+05
2022 01 02  2200   59581   79200    0        2.6      463.6     1.64e+05
2022 01 02  2300   59581   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0000   59582       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0100   59582    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0200   59582    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0300   59582   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0400   59582   14400    0        1.7      588.4     2.99e+05
2022 01 03  0500   59582   18000    0        3.5      610.2     2.97e+05
2022 01 03  0600   59582   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0700   59582   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 03  0800   59582   28800    0        3.2      540.5     1.19e+05
2022 01 03  0900   59582   32400    0        2.5      526.6     1.25e+05
2022 01 03  1000   59582   36000    0        2.1      519.8     9.87e+04
2022 01 03  1100   59582   39600    0        2.2      521.0     5.80e+04
2022 01 03  1200   59582   43200    3    -9999.9    -9999.9    -1.00e+05
2022 01 03  1300   59582   46800    0        2.0      506.3     9.68e+04
2022 01 03  1400   59582   50400    0        1.7      504.3     7.81e+04
2022 01 03  1500   59582   54000    3    -9999.9    -9999.9    -1.00e+05
2022 01 03  1600   59582   57600    0        1.9      490.8     9.63e+04
2022 01 03  1700   59582   61200    1        2.0      486.6     9.25e+04
2022 01 03  1800   59582   64800    0        2.2      483.6     8.80e+04
2022 01 03  1900   59582   68400    0        2.3      483.4     7.98e+04
2022 01 03  2000   59582   72000    0        2.6      474.6     6.69e+04
2022 01 03  2100   59582   75600    0        2.2      464.8     6.29e+04
2022 01 03  2200   59582   79200    0        1.7      476.7     8.00e+04
2022 01 03  2300   59582   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0000   59583       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0100   59583    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0200   59583    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0300   59583   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0400   59583   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 04  0500   59583   18000    0        2.0      447.0     9.78e+04
2022 01 04  0600   59583   21600    0        2.1      434.7     8.97e+04
2022 01 04  0700   59583   25200    1        4.1      439.6     1.22e+05
2022 01 04  0800   59583   28800    0        3.8      447.6     5.39e+04
2022 01 04  0900   59583   32400    0        3.4      439.0     2.30e+04
2022 01 04  1000   59583   36000    0        3.5      435.5     2.24e+04
2022 01 04  1100   59583   39600    0        3.9      432.0     2.84e+04
2022 01 04  1200   59583   43200    0        3.8      427.1     4.43e+04
2022 01 04  1300   59583   46800    0        3.4      428.4     5.06e+04
2022 01 04  1400   59583   50400    0        2.8      420.6     6.17e+04
2022 01 04  1500   59583   54000    0        2.5      416.8     7.76e+04
2022 01 04  1600   59583   57600    0        3.5      405.2     7.64e+04
2022 01 04  1700   59583   61200    0        2.9      406.5     8.69e+04
2022 01 04  1800   59583   64800    0        2.4      400.9     8.45e+04
2022 01 04  1900   59583   68400    0        2.7      401.1     8.51e+04
2022 01 04  2000   59583   72000    0        2.7      395.3     6.95e+04
2022 01 04  2100   59583   75600    0        3.2      391.2     7.01e+04
2022 01 04  2200   59583   79200    0        3.8      386.5     6.86e+04
2022 01 04  2300   59583   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 05  0000   59584       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 05  0100   59584    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 05  0200   59584    7200    0       31.8      396.5     5.55e+04
2022 01 05  0300   59584   10800    6    -9999.9    -9999.9    -1.00e+05
2022 01 05  0400   59584   14400    3    -9999.9    -9999.9    -1.00e+05
2022 01 05  0500   59584   18000    6    -9999.9    -9999.9    -1.00e+05
2022 01 05  0600   59584   21600    3    -9999.9    -9999.9    -1.00e+05
2022 01 05  0700   59584   25200    0       82.3      572.1     3.28e+05
2022 01 05  0800   59584   28800    0        8.1      391.7     1.35e+05
2022 01 05  0900   59584   32400    0        2.5      392.0     1.03e+05
2022 01 05  1000   59584   36000    0        2.4      389.1     1.09e+05
2022 01 05  1100   59584   39600    0        2.2      405.9     1.19e+05
2022 01 05  1200   59584   43200    0        2.4      399.6     1.08e+05
2022 01 05  1300   59584   46800    0        2.3      380.2     1.45e+05
2022 01 05  1400   59584   50400    0        2.4      370.2     1.18e+05
2022 01 05  1500   59584   54000    0        2.5      369.1     1.07e+05
2022 01 05  1600   59584   57600    9    -9999.9    -9999.9    -1.00e+05
2022 01 05  1700   59584   61200    0        2.7      379.0     6.55e+04
2022 01 05  1800   59584   64800    0        2.7      378.4     6.09e+04
2022 01 05  1900   59584   68400    0        2.6      378.1     5.88e+04
2022 01 05  2000   59584   72000    1        2.8      376.7     8.79e+04
2022 01 05  2100   59584   75600    0        2.6      373.1     8.70e+04
2022 01 05  2200   59584   79200    0        3.0      386.7     7.66e+04
2022 01 05  2300   59584   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0000   59585       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0100   59585    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0200   59585    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0300   59585   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0400   59585   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  0500   59585   18000    0        2.9      369.3     3.65e+04
2022 01 06  0600   59585   21600    0        2.1      361.5     4.79e+04
2022 01 06  0700   59585   25200    0        5.7      371.0     6.30e+04
2022 01 06  0800   59585   28800    0        2.2      353.9     4.42e+04
2022 01 06  0900   59585   32400    0        2.9      350.3     3.14e+04
2022 01 06  1000   59585   36000    0        2.6      350.9     3.09e+04
2022 01 06  1100   59585   39600    0        3.2      348.0     2.44e+04
2022 01 06  1200   59585   43200    0        3.4      346.7     2.36e+04
2022 01 06  1300   59585   46800    0        3.4      348.9     2.80e+04
2022 01 06  1400   59585   50400    0        3.0      351.6     4.11e+04
2022 01 06  1500   59585   54000    0        2.6      352.8     4.31e+04
2022 01 06  1600   59585   57600    0        2.4      354.4     6.45e+04
2022 01 06  1700   59585   61200    0        2.2      350.6     4.88e+04
2022 01 06  1800   59585   64800    0        1.7      353.6     4.52e+04
2022 01 06  1900   59585   68400    0        1.5      353.1     3.88e+04
2022 01 06  2000   59585   72000    0        1.7      348.4     4.05e+04
2022 01 06  2100   59585   75600    0        2.3      344.0     3.21e+04
2022 01 06  2200   59585   79200    9    -9999.9    -9999.9    -1.00e+05
2022 01 06  2300   59585   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0000   59586       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0100   59586    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0200   59586    7200    6    -9999.9    -9999.9    -1.00e+05
2022 01 07  0300   59586   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0400   59586   14400    3    -9999.9    -9999.9    -1.00e+05
2022 01 07  0500   59586   18000    1        2.0      330.1     3.02e+04
2022 01 07  0600   59586   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0700   59586   25200    3    -9999.9    -9999.9    -1.00e+05
2022 01 07  0800   59586   28800    0        2.1      326.9     2.49e+04
2022 01 07  0900   59586   32400    0        2.7      329.4     1.67e+04
2022 01 07  1000   59586   36000    0        2.2      321.8     2.06e+04
